Date,Currency,Balance,Unconfirmed:,Total mined:,Value USD,Value BTC,Status,Coin Price
2017-08-23,Monero,0.0414697524,0.0043927345,0.0458624869,3.7088556,0.00100641,ON LINE,$89.46
2017-08-23,FantomCoin,0,0.4480294967,0.4479510093,0,0,ON LINE,0.08492402
2017-08-23,Bytecoin,1060.12342307,17.35022986,1077.47365293,1.29865119,0.00034984,OFF LINE,0.0012172
2017-08-23,DigitalNote,1.00026798,0.78363814,1.78390612,0.00210879,0.00000057,OFF LINE,0.002102
2017-08-23,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-23,Ethereum,0.0084142358,0,0.0084142358,2.3851077,0.0006465,OFF LINE,282.891499
2017-08-23,Aeon Coin,,,,,,,
2017-08-23,Ethereum Classic,,,,,,,
2017-08-23,Bitcoin,,,,,,,
,,,,,,,,
2017-08-24,Monero,0.0464744126,0.0005222841,0.0469966967,4.34510662,0.00110169,ON LINE,$93.52
2017-08-24,FantomCoin,0,0.4567110495,0.4566325621,0,0,ON LINE,0.08524103
2017-08-24,Bytecoin,1160.78620176,106.13213768,1266.91833944,1.53429238,0.00039467,ON LINE,0.0012986
2017-08-24,DigitalNote,1.00026798,0.78363814,1.78390612,0.00230784,0.00000058,OFF LINE,0.0022814
2017-08-24,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-24,Ethereum,0.0084142358,0,0.0084142358,2.46996527,0.00062625,OFF LINE,295.724343
2017-08-24,Aeon Coin,,,,,,,
2017-08-24,Ethereum Classic,,,,,,,
2017-08-24,Bitcoin,,,,,,,
,,,,,,,,
2017-08-25,Monero,0.0464744126,0.0016787947,0.0481532073,4.34059395,0.00110585,ON LINE,$93.62
2017-08-25,FantomCoin,0,0.4633776192,0.4632991318,0,0,ON LINE,0.10442381
2017-08-25,Bytecoin,1489.53601577,0.95146662,1490.48748239,1.92595517,0.00049155,ON LINE,0.0012903
2017-08-25,DigitalNote,1.00026798,0.78363814,1.78390612,0.00232269,0.00000059,OFF LINE,0.0023064
2017-08-25,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
